,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
54,2020-02-29 07:49:01,DrLindaShelton,Chief charlatan #VOTEBLUE 4 DECENCY Dump Trump CULT COWARDLY GOP Senators #Farmers #Education #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/Trump_Detester/status/1233745048648536064 …,"['#voteblue', '#farmers', '#education', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,1,PDT,,
55,2020-02-29 07:37:16,TylerBlackwell4,"What a way for these people to end #BlackHistoryMonth, to bow and pray to a white supremacist.🙄

When someone shows you who they are, believe them the first time.

#SaturdayMorning #SaturdayThoughts #TrumpRallySC #TrumpLies #BLM #Election2020 #TruthMatters #VoteBlueNoMatterWho pic.twitter.com/fG7xchWtWM","['#blackhistorymonth', '#saturdaymorning', '#saturdaythoughts', '#trumprallysc', '#trumplies', '#blm', '#election2020', '#truthmatters', '#votebluenomatterwho']",1,1,0,PDT,,
56,2020-02-29 07:13:20,CR_US_Army_31L,I replied to a friend last night as I was drinking “White” Claws. I thought is this racist???  so I went wit just Claws. She didn’t reply back...? I really did think it as dirt and also how ridiculous!! #fracism #blm #alm,"['#fracism', '#blm', '#alm']",1,0,0,PDT,,
57,2020-02-29 07:05:27,RU_intelliGENt,#BLM helps no one...okay...you literally have no evidence of that but go on your tangent. Idc what you gotta say anymore tho. I hope you find some peace of mind so you can be enlighten wit the realities of the real one day.,['#blm'],0,1,0,PDT,,
58,2020-02-29 06:53:18,mnpartypix,#BlackPanthers the First Neighborhood #Watch The right to defend our communities from enemies foreign and domestic Leap of Faith #BLM #Wankanda4Eva Murdered and Framed by informants by Government and Local Police…  https://www.instagram.com/p/B9J6Od9hD0o/?igshid=11izfu98f5mwz …,"['#blackpanthers', '#watch', '#blm', '#wankanda4eva']",0,0,0,PDT,,
59,2020-02-29 06:46:04,BoonieKane,@SenStabenow @SenGaryPeters @RepPaulMitchell #MI - HOW FAR ARE YOU GOING TO LET #BLM GO? They are STRIPPING #PublicLands of #Wildlife #EcoSystems #Heritage #Wealth #Resources for #CorporateCarpetbaggerBRIBES - #ProtectPublicLands https://twitter.com/Blueequus775/status/1233488006796865537 …,"['#mi', '#blm', '#publiclands', '#wildlife', '#ecosystems', '#heritage', '#wealth', '#resources', '#corporatecarpetbaggerbribes', '#protectpubliclands']",0,1,0,PDT,,
60,2020-02-29 06:44:53,BHM_Pirate,Know your #BlackHistoryMonth! Don Lemon and guests are salty @POTUS was called the first black president and ignore his accomplishments. #FirstStep #Employment  https://youtu.be/tDl2yXpcLWY  #BLM #BlackTwitter #BlackHistory #TheRoot #AMJoy #MSNBC #BernieBros #Vox #NowThis #Buzzfeed  https://twitter.com/BHM_Pirate/status/1233610697134792709 … pic.twitter.com/IOJxJliwVn,"['#blackhistorymonth', '#firststep', '#employment', '#blm', '#blacktwitter', '#blackhistory', '#theroot', '#amjoy', '#msnbc', '#berniebros', '#vox', '#nowthis', '#buzzfeed']",0,1,0,PDT,,
61,2020-02-29 06:28:23,folkdoc8,"Teen activist spearheaded the country’s largest student anti-gun violence walkout:  https://www.aol.com/article/news/2020/02/29/teen-activist-spearheaded-the-countrys-largest-student-anti-gun-violence-walkout/23936603/?a_dgi=aolshare_activism …, to her, simply means playing her part in creating the world she wants to see tomorrow #BlackHistoryMonth #BLM #BlackTwitter #socialjustice #GunReformNow #Afrofuturism","['#blackhistorymonth', '#blm', '#blacktwitter', '#socialjustice', '#gunreformnow', '#afrofuturism']",0,0,1,PDT,,
62,2020-02-29 06:11:51,schestowitz,"Why We Sued Trump’s #BLM Over Its Sagebrush-Juniper Burning Project in #Montana  https://www.counterpunch.org/2020/02/28/why-we-sued-trumps-blm-over-its-sagebrush-juniper-burning-project-in-montana/ … ""back in court to force the agency to comply with the Court’s order.""","['#blm', '#montana']",0,0,0,PDT,,
63,2020-02-29 06:09:43,termc1,"Funny how people are overlooking what may be #MiniMike's biggest #con.
 He's no ""New Yorker"" folks.
 Born & raised in MASSACHUSETTS.
 Undergrad in BALTIMORE, MARYLAND.
 Grad school in BOSTON.
 Started work in NYC in his late 20s, MAYbe.
-
#kag #maga #Trump2020 #2A #BLM","['#minimike', '#con', '#kag', '#maga', '#trump2020', '#2a', '#blm']",1,0,0,PDT,,
64,2020-02-29 05:50:47,kellimedaglia,"Dumb --- #Drumpf 
Dumber --- his supporters 

#VoteBlueNoMatterWho
#VoteBlueNoMatterWho2020
#VoteBlue
#VoteBlueToSaveAmerica
#VoteBlueToEndThisNightmare
#Resist
#LGBTQ
#LGBTQProud
#BLM
#LoveWins
#Dems
#BlueWave
#BlueWave2020
#Resistance
#prochoice
#FactsMatter","['#drumpf', '#votebluenomatterwho', '#votebluenomatterwho2020', '#voteblue', '#votebluetosaveamerica', '#votebluetoendthisnightmare', '#resist', '#lgbtq', '#lgbtqproud', '#blm', '#lovewins', '#dems', '#bluewave', '#bluewave2020', '#resistance', '#prochoice', '#factsmatter']",1,1,0,PDT,,
65,2020-02-29 05:49:13,annatoccara,"Enjoyed being interviewed by @rita_gayle for her PhD thesis on Black feminist collectives in Britain; remembering the work that @our__mel has done & what it has propelled. The Summer of 2016 was just the start, we aren’t finished yet. We are #BLACKHISTORY ✊🏾🖤
#BLM #MelaninFest pic.twitter.com/sBHD2p1sI0","['#blackhistory', '#blm', '#melaninfest']",21,2,4,PDT,,
66,2020-02-29 04:50:04,BHM_Pirate,"Remember, it wasn’t the #Republicans who turned the firehoses on black people. Know your #BlackHistoryMonth. #Democrats2020 #BetteMidler #LGBTQ #BlackTwitter #BLM #BlackConservatives #BlacksForTrump #WhiteSupremacy #WalkAway #ObamaWasBetterAtEverything #TheRoot #ESPN  https://twitter.com/WayneDupreeShow/status/1233709350465757185 … pic.twitter.com/emUk1qBMwo","['#republicans', '#blackhistorymonth', '#democrats2020', '#bettemidler', '#lgbtq', '#blacktwitter', '#blm', '#blackconservatives', '#blacksfortrump', '#whitesupremacy', '#walkaway', '#obamawasbetterateverything', '#theroot', '#espn']",0,0,1,PDT,,
67,2020-02-29 04:30:34,VirgoxSapphire,#Aria51 says: Nazis don't belong in the furry community. Also Piccolo is Black. #fucknazis #blm #queer pic.twitter.com/JUvGPRZc95,"['#aria51', '#fucknazis', '#blm', '#queer']",0,0,0,PDT,,
68,2020-02-29 02:21:30,BadTwitBot,"Before we know it the #BLM will ban the names ""Hitler"" and ""Spacey"". #liberals will punch anyone with those names.","['#blm', '#liberals']",0,0,0,PDT,,
69,2020-02-29 01:48:58,JBoneTheMartian,"There's an extra day, might as well learn something old.
.
#blm #blackhistory #blacklivesmatter #blackgirlmagic #blackhistorymonth #blackhistory #blackfolks #shortestmonth #slavery #riseup #slaveships #slavetrade…  https://www.instagram.com/p/B9JXZkJgjj3/?igshid=1jmvvfoh0f37p …","['#blm', '#blackhistory', '#blacklivesmatter', '#blackgirlmagic', '#blackhistorymonth', '#blackhistory', '#blackfolks', '#shortestmonth', '#slavery', '#riseup', '#slaveships', '#slavetrade']",0,0,0,PDT,,
70,2020-02-29 01:17:08,Lainbeom,"Wipipo logic. If I dont look, or see it, it didnt happen. 🤦🏽‍♀️ #wipipo #whiteprivilege #racism #blm #workplaceharassment #harassment pic.twitter.com/uP7tj4gJmR","['#wipipo', '#whiteprivilege', '#racism', '#blm', '#workplaceharassment', '#harassment']",0,0,0,PDT,,
