,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-06-05 16:59:48,Cooperstreaming,"Since we all know the #NFL apology is hollow bulls***, I’m wondering, what should the NFL do that would actually look like restitution for all the damage they’ve done, not just to Kap but to racial justice?

#Blacklivesmatter
#BLM","['#nfl', '#blacklivesmatter', '#blm']",97,17,12,PDT,,
1,2020-06-05 16:58:01,oheysteenz,"Today's Heart of the City is actually the first strip I drew. This was before character design changes, before storyline changes, and before i even got the gig. So it's really exciting to see the newer version on the site today. #drawingwhileblack
#BLM
 https://www.gocomics.com/heartofthecity/2020/06/05 … pic.twitter.com/hKgToS8481","['#drawingwhileblack', '#blm']",86,2,21,PDT,,
2,2020-06-05 16:57:43,AntifaPinneberg,"From #Hamburg to #Minneapolis - #BlackLivesMatter!

06.06. 15:00 Rathausplatz 

#BLM #JusticeForGeorge #JusticeForBre #JusticeForGeorgeFloyd #JusticeforBreonnaTaylor #OuryJalloh #AchidiJohn #JusticePourAdama #FightRascism #Antifa #NoNazisHH #NoNazisSH pic.twitter.com/yqTzZ09riC","['#hamburg', '#minneapolis', '#blacklivesmatter', '#blm', '#justiceforgeorge', '#justiceforbre', '#justiceforgeorgefloyd', '#justiceforbreonnataylor', '#ouryjalloh', '#achidijohn', '#justicepouradama', '#fightrascism', '#antifa', '#nonazishh', '#nonazissh']",24,0,21,PDT,,
3,2020-06-05 16:57:23,CoachWooster,#BelleIslePeaceMarch Thank you @JoiqueBell for being & making change! #CoachesStandForJustice #BLM @JocelynBenson pic.twitter.com/IrtQR1z1rV,"['#belleislepeacemarch', '#coachesstandforjustice', '#blm']",63,2,4,PDT,,
4,2020-06-05 16:57:19,Notbuyingthisbs,"I hope all of these 'I can't breathe' signs don't turn out to be prophetic foreshadowing of a Covid-19 spike.
#BLM AND #WearyourMask","['#blm', '#wearyourmask']",31,6,3,PDT,,
5,2020-06-05 16:57:14,EvrenWiltse,"Our tiny college town gathered together, exercising our 1st Amendment rights, standing up for justice, against #PoliceBrutality , people of all ages, all colors trying to build a better future. 
#BLM  pic.twitter.com/EbrzbfHufs","['#policebrutality', '#blm']",17,1,0,PDT,,
6,2020-06-05 16:57:13,SHUWGolf,"A statement from Seton Hall women's golf...

#BLM #HALLin pic.twitter.com/Ysl3lV64y0","['#blm', '#hallin']",17,1,10,PDT,,
7,2020-06-05 16:56:59,roobots,Outside my apartment just now. #BLM #AtlantaProtests #DefundThePolice pic.twitter.com/TZ4MI46F92,"['#blm', '#atlantaprotests', '#defundthepolice']",22,0,0,PDT,,
8,2020-06-05 16:56:40,aroseblush,"If you have taken part in the #BLM protests around the country, it is imperative that you get tested for COVID in your state, so you don't further the spread to your family, friends, and others. Stay healthy.",['#blm'],32,0,22,PDT,,
9,2020-06-05 16:56:39,KimonaQ,"Calling @realDonaldTrump demeans the #BLM movement

Did you know @POTUS made MLKs birth place a national historic park & when needed he loaned his jet to Nelson Mandela. He also dated an AA woman😲

Its hard to be good at stuff youre fundamentally against  #AllLivesMatter pic.twitter.com/xjV0IXMFkf","['#blm', '#alllivesmatter']",196,15,192,PDT,,
