,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-06-09 16:59:53,heyitsrini,"And notice the difference, because he isn’t asking for the same respect.  He’s demanding respect of Authority.  #BLM is asking for respect of LIFE the fact that he even compares the two “show US respect” makes me sick",['#blm'],124,0,3,PDT,,
1,2020-06-09 16:59:44,Sgt__S,"My mates and I should be in Canterbury on our way to Le Mans. An annual trip and a week to empty my head. Only a few years ago we woke up to Grenfell and all its agony for those caught up in its aftermath. 

Now we are wrapped up in #COVID__19 and #BLM the world is not healing.  pic.twitter.com/K0g2J39lgq","['#covid__19', '#blm']",94,13,4,PDT,,
2,2020-06-09 16:58:47,boaz_4,Let our voices be heard.                           #BLM #CapturedByBoaz pic.twitter.com/R9e3aQZN0q,"['#blm', '#capturedbyboaz']",45,2,17,PDT,,
3,2020-06-09 16:58:36,CABlueBlaze,"Today, we marched in Mount Vernon, #Virginia for all the black lives we’ve lost and to make certain this violence perpetrated against them stops. #BLM #BlackLivesMattter pic.twitter.com/ttYaUD1fV0","['#virginia', '#blm', '#blacklivesmattter']",16,1,5,PDT,,
4,2020-06-09 16:57:18,figandoliveblog,"If you're a non-black Muslim looking to support #BLM issues, considers turning to your black 'brethren in faith' before jumping over to work with non-Muslims.

Even the idea that black issues and Muslim issues don't cross paths is a bit of erasure.",['#blm'],83,2,18,PDT,,
5,2020-06-09 16:56:49,ClaireLizArt,"I made this in support of #BLM. As an artist, I feel this is a way I can show my support. 🌟The Sky’s The Limit🌟 if we support each other.  pic.twitter.com/ZbKoAPu6zk",['#blm'],13,1,2,PDT,,
6,2020-06-09 16:53:22,OhHeyAdamK,"Sorry I didn't get back to your email earlier. Had to RUN AND HELP COVER THIS UP ON MY BLOCK. 

WHAT.
#SilverLake #BLM  pic.twitter.com/8r7v6Qwp0t","['#silverlake', '#blm']",39,7,1,PDT,,
7,2020-06-09 16:52:12,JudyTenuta,"Rest in Power, George Floyd! #ItCouldHappen #BLM #loveoneanother pic.twitter.com/a1tpJScb8K","['#itcouldhappen', '#blm', '#loveoneanother']",79,6,11,PDT,,
8,2020-06-09 16:51:53,Nick_Clamorgan,"... but #BLM has no image problem, at all.

Somehow.  pic.twitter.com/LHFI9FRz6f",['#blm'],78,14,144,PDT,,
9,2020-06-09 16:51:32,amyyensi,"I remember interviewing #ConstanceMalcolm just days after her son #RamarleyGraham was shot, killed in his #Bronx home by an #NYPD officer. She’s still marching for justice 8 years later. #NYC #BLM Protest #NY1Pic .@NY1 pic.twitter.com/lrV63bK30c","['#constancemalcolm', '#ramarleygraham', '#bronx', '#nypd', '#nyc', '#blm', '#ny1pic']",50,0,16,PDT,,
10,2020-06-09 16:51:13,ConserveItAll,"Getting the first few masks completely done! Only about 125 more to go in this batch 😉 I decided to bring some to work for coworkers who don't have them, and then donate the rest to local #blm groups. I think protesters might need these the most right now 👌  pic.twitter.com/4PD20hsKUj",['#blm'],17,1,0,PDT,,
11,2020-06-09 16:50:58,guybranum,Hey showrunners talking about the need for change and posting #BLM: Stop making black writers repeat staff writer.  https://twitter.com/amidoko/status/1270051205507473410 …,['#blm'],61,0,5,PDT,,
12,2020-06-09 16:50:17,AmandaKMontoya,"I keep hearing about ""lives lost""...THEY WERE NOT LOST! They were TAKEN! #blacklivesmatter #BLM","['#blacklivesmatter', '#blm']",16,0,1,PDT,,
13,2020-06-09 16:49:36,WBTVCamMan,Incredible artwork done on the streets of Uptown to honor #GeorgeFloyd and the #BLM movement. #cltnews pic.twitter.com/PUQpoc73WO,"['#georgefloyd', '#blm', '#cltnews']",29,1,3,PDT,,
