,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
25,2020-06-03 16:51:48,RealDLHughley,"FINALLY IN THE PROPER UNIFORMS!! #TeamDL #murder #murderers #policebrutality #georgefloyd #icantbreathe #blm #blacklivesmatter #Repost @katiecouric with make_repost
・・・
🚨BREAKING🚨 All four officers involved in the…  https://www.instagram.com/p/CA_fXzonwy-/?igshid=14jnbp3x4w27o …","['#teamdl', '#murder', '#murderers', '#policebrutality', '#georgefloyd', '#icantbreathe', '#blm', '#blacklivesmatter', '#repost']",103,5,25,PDT,,
26,2020-06-03 16:51:20,BradSpoeth1,The “all lives matter” people are just so ignorant. All lives matter is common sense... but that can’t happen until black lives matter.. if George Floyd was white no chance it goes down the same way.. same with all the many examples I’ve seen this past week. Pay attention. #BLM,['#blm'],29,0,4,PDT,,
27,2020-06-03 16:50:52,sarah_rizvi_,me and 6 other artists teamed up to create stickers for the #BLM movement and 100% of the proceeds will be donated to different BLM fundraisers. I made my set in honor of pride month! the Instagram link:  https://www.instagram.com/p/CA_Z3cilTf4/?igshid=1ikeg5wz2sy8s … pic.twitter.com/nCH5Jdvnga,['#blm'],26,1,16,PDT,,
28,2020-06-03 16:50:14,hothamms,"INDIANAPOLIS PROTEST UPDATE!!!❗️⚠️❗️⚠️❗️⚠️❗️⚠️❗️⚠️❗️⚠️⚠️
Bait bricks have been spotted. Do not fall for it. Do not give in. 

Signal boost
#blm #indianapolis #indianapolisprotest","['#blm', '#indianapolis', '#indianapolisprotest']",84,3,54,PDT,,
29,2020-06-03 16:49:56,ProfSamKamin,The Colorado state capitol right now. #BLM  pic.twitter.com/bXFZIGlA0i,['#blm'],15,0,0,PDT,,
30,2020-06-03 16:49:31,yaycourtney,"IF YOU ARE NOT BLACK THIS IS NOT ABOUT YOU

NOBODY IS INVALIDATING UR PERSONAL EXPERIENCES WITH RACISM BUT AGAIN THIS IS NOT ABOUT YOU

IF YOU ARE ANTI RACISM, BUT NOT BLACK, YOU ARE AN ALLY IN THE #BLM MOVEMENT!!! DONT TELL YOUR STORIES, BE A VEHICLE IN HELPING THEM TELL THEIRS",['#blm'],19,1,4,PDT,,
31,2020-06-03 16:49:13,Ayakhalfa,"If a government deployed this level of authoritarian military response in order to oppress and silence its people anywhere else in the world, there would be international backlash and the US would, w/out a doubt, have something to say. #blm",['#blm'],20,0,2,PDT,,
32,2020-06-03 16:47:54,CristalPaolaa,The best parts of our culture literally comes from our African ancestors. Todo ese sazon que tenemos es por parte de nuestra raices negras y tainas. To all my fellow “woke” Dominicans: Please educate those that are neglecting our own identity. Support the movement. #blm,['#blm'],136,0,29,PDT,,
33,2020-06-03 16:47:52,thislilgecko,"Singing of ""Lift Every Voice and Sing"" by J. Rosamond Johnson and James Weldon Johnson.

Cheers and tears through the crowd.

#blacklivesmatter #blm #blmseattle #lifteveryvoice #seattleprotest #seattleprotests #peacefulprotest #seattlewa #seattle","['#blacklivesmatter', '#blm', '#blmseattle', '#lifteveryvoice', '#seattleprotest', '#seattleprotests', '#peacefulprotest', '#seattlewa', '#seattle']",14,1,3,PDT,,
34,2020-06-03 16:47:12,KaraWAVY,"A protest happening right now in Downtown Norfolk. @WAVY_News
#BLM  pic.twitter.com/pl875eWT1s",['#blm'],20,1,9,PDT,,
35,2020-06-03 16:47:12,AZSportsZone,"Took a little break from twitter before today, so in case anyone was wondering: #BLM

If you have an issue with this, the unfollow button works just fine. If you’re a sports fan & can’t speak up for these athletes you follow and supposedly idolize then you’re part of the problem.  pic.twitter.com/cHc22zUdCL",['#blm'],44,2,3,PDT,,
36,2020-06-03 16:47:11,alexandraweb_,I can not wait to tell my future kids that I graduated the same day I participated in the Houston #BLM Rally! It was beautiful to see everyone of all races demonstrate the LOVE we have for each other. We are not stopping here✊🏾#BlackLivesMatter #JusticeForGeorgeFloyd #2020grad ❤️ pic.twitter.com/zcegnh8w0D,"['#blm', '#blacklivesmatter', '#justiceforgeorgefloyd', '#2020grad']",96,1,11,PDT,,
37,2020-06-03 16:47:06,way_tooo_turnt,My friend and I are selling #BLM bracelets and donating all the proceeds to various black lives matter organizations if anyone is interested! I’m still working on the Etsy shop but for now just dm me!  pic.twitter.com/txPusXRueA,['#blm'],51,1,42,PDT,,
38,2020-06-03 16:46:38,CWGreider,I unequivocally support #BLM and protests of #GeorgeFloyd’s murder. Systemic racism is also ingrained in the scientific community. I too am complicit; I will work harder for change. I am supporting @SPLC and @ACLU and encourage my colleagues to take concrete action as well,"['#blm', '#georgefloyd']",126,85,22,PDT,,
39,2020-06-03 16:46:33,ke_ilani,"dear god,
i pray my brother and sister make it to work safe today.
i pray voices are heard.
i pray hearts are softened.
i pray people become aware.
i pray the killing stops.
i pray for growth.
i pray for justice.
i pray my brother and sister make it home safe today.
amen.
#BLM",['#blm'],25,0,0,PDT,,
40,2020-06-03 16:46:26,ByBethBurger,Protesters are lying down for 8 minutes and 46 seconds in front ⁦@MayorGinther⁩’s home. Some are on the lawn. #GeorgeFloydProtests #GeorgeFloyd #blm #columbusprotest pic.twitter.com/zZDUphT1Dr,"['#georgefloydprotests', '#georgefloyd', '#blm', '#columbusprotest']",63,8,18,PDT,,
41,2020-06-03 16:45:49,JackalooComics,"I am investing most of my time on my IRL accounts, but please know I stand with BLM! Here are two stellar organizations you can contribute toward community health, education, and leadership 🤍🤎🖤 #BlackLivesMatter #BLM
 https://www.blackvisionsmn.org/ 
 https://www.reclaimtheblock.org/home  pic.twitter.com/IZKLTBOdBJ","['#blacklivesmatter', '#blm']",155,3,23,PDT,,
42,2020-06-03 16:45:15,UF_FASA,Statement from the Florida #Anthropology Student Association  concerning #BlackLivesMatter #BLM  pic.twitter.com/KZ8VQ2wJJ8,"['#anthropology', '#blacklivesmatter', '#blm']",32,1,13,PDT,,
43,2020-06-03 16:44:31,jessiikate,A tiny portion of the people that turned out today in KW! #blm  pic.twitter.com/2zxQJ5cHDQ,['#blm'],29,1,10,PDT,,
44,2020-06-03 16:43:51,IrisBlasi,"For the last few months, we stayed home because it mattered. Today, we went out because that mattered more. #BlackLivesMatter #BLM #JusticeforGeorgeFloyd #takeaknee pic.twitter.com/8IzDy3kvWs","['#blacklivesmatter', '#blm', '#justiceforgeorgefloyd', '#takeaknee']",25,0,1,PDT,,
45,2020-06-03 16:43:35,johannagarnes,"a lot of ppl are saying ""social media is so annoying right now"" but honestly? i'm GLAD so many ppl are getting angry about this. i am GLAD that ppl aren't just gonna let this slip under the radar like it has before. i am GLAD that people are demanding justice #blm",['#blm'],22,0,2,PDT,,
46,2020-06-03 16:43:29,lexmoul,"in Kansas City, cops are being sent specifically to engage protestors in “civil conversations.” journalists taking pictures and notes unannounced. pretty good optics for the kcpd, which has been tear gassing protestors all week. #blm #kc #KCprotest","['#blm', '#kc', '#kcprotest']",22,2,4,PDT,,
47,2020-06-03 16:43:26,SullysMomster,An older black man came up to me while carrying Sullivan and said “Hopefully when he’s my age he won’t have to be going to these type of things.” You know how fucking sad it is that the Black community has been begging for change all these years and it STILL hasn’t happened. #BLM  pic.twitter.com/DlY8QSWXoo,['#blm'],52,1,3,PDT,,
48,2020-06-03 16:43:12,tbhivi,It saddens me so much to see my Dominican people stuck on outdated beliefs and not supporting the #BLM movement. It’s like they feel obligated to remain ignorant because they grew up that way. Think for yourself and do what is right.,['#blm'],13,0,1,PDT,,
49,2020-06-03 16:42:48,feelzgudman,"you cast votes on how you want this country to be not just on election day, but also with your actions: what you buy, sell, share, read, watch, eat, say, think, learn etc. the world is a mirror. that is with the understanding you must take responsibility for said actions. #BLM",['#blm'],13,0,4,PDT,,
50,2020-06-03 16:41:46,AlexFarmer2316,"Fremont, Ohio 6/3/2020 #BLM  pic.twitter.com/42fx7aRSzy",['#blm'],91,1,21,PDT,,
51,2020-06-03 16:41:27,uarizona,"A message from President Robert C. Robbins.
#blacklivesmatter #blm
 https://bit.ly/2MtRUhI  pic.twitter.com/zh8qj4xuIl","['#blacklivesmatter', '#blm']",342,63,89,PDT,,
52,2020-06-03 16:37:39,RicSexton_,Lift Every Voice And Sing 🖤🎷 #BLM #BlackLivesMatter #JusticeForGeorgeFloyd pic.twitter.com/v67yQyTKM2,"['#blm', '#blacklivesmatter', '#justiceforgeorgefloyd']",93,2,49,PDT,,
