,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
772,2019-12-19 13:47:05,DrLindaShelton,I'm worried Nov won't come fast enough #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/McArtichoke/status/1207694608244903938 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
773,2019-12-19 13:46:12,DrLindaShelton,Must #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/WesCSays/status/1207758740658835456 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",1,0,1,PDT,,
774,2019-12-19 13:45:29,DrLindaShelton,Reason 2 #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/sjredmond/status/1207733919447179264 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
775,2019-12-19 13:40:02,pdxnag,"Future employment application questions:

Within the last ten years have you denied that there are two genders? (as proxy for: are you insane?)

Within the last ten years have you been a member of a racist/tribalist/hate group? (posting #BLM signs qualifies, bc all lives matter)",['#blm'],0,0,0,PDT,,
776,2019-12-19 13:39:16,DrLindaShelton,Healthcare matters #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/JoeBiden/status/1207690082553139201 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
777,2019-12-19 13:36:06,DrLindaShelton,Morality matters #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/TomthunkitsMind/status/1207741464400334850 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
778,2019-12-19 13:32:38,DrLindaShelton,McConnell obstructing work of Senate #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/RVAwonk/status/1207726389434208256 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
779,2019-12-19 13:30:27,DrLindaShelton,Disaster 4 healthcare #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/RepKatiePorter/status/1207670881222303750 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",1,0,2,PDT,,
780,2019-12-19 13:29:40,DrLindaShelton,She knows she should be convicted for perjury & then deported 4 lies on Visa application #VOTEBLUE & #CONVICT & #REMOVE #TeaParty #AARP #Veterans #MeToo #GenX #Millenials #marchforourlives #1u #MAGA #Independents #Indigenous #P2 #Latinx #BLM #LGBTQ https://twitter.com/LinkedHD/status/1207538490553974785 …,"['#voteblue', '#convict', '#remove', '#teaparty', '#aarp', '#veterans', '#metoo', '#genx', '#millenials', '#marchforourlives', '#1u', '#maga', '#independents', '#indigenous', '#p2', '#latinx', '#blm', '#lgbtq']",0,0,0,PDT,,
781,2019-12-19 12:53:24,Stump4TrumpSF,Everyone that eats beef is responsible for this horrendous mass slaughter of #wildhorses #GoVegan @realDonaldTrump #BLM #cattle @shaunwalters041 @ASavageNation @Animalsmatter9 https://twitter.com/Freedom4Horses/status/1206756284587921408 …,"['#wildhorses', '#govegan', '#blm', '#cattle']",1,0,1,PDT,,
782,2019-12-19 11:11:45,HinemusicJ,"#Repost @biggaskillzblm (@get_repost)
・・・
#StillAlive #SupportTheReal #BLM #OPN #FME #UDU the bros working video dropping Friday stay tuned  https://www.instagram.com/p/B6Q-iS9lsbZ/?igshid=145plios4naqt …","['#repost', '#stillalive', '#supportthereal', '#blm', '#opn', '#fme', '#udu']",0,0,0,PDT,,
783,2019-12-19 11:08:16,VanguardTNT,She then said a lot of times we repeat white ppl’s history even in the presence of authentic Black history. This movement is built on whiteness and the aspiration to be then. #Ferguson was the antithesis of #BLM. Still a gender struggle but one based on Black Liberation. (3/3),"['#ferguson', '#blm']",69,1,35,PDT,,
784,2019-12-19 11:07:12,SacconeSpeaks,"This article starkly highlights how ill-advised moving the #BLM to Grand Junction is, including this quote: ""Doesn't appear that they thought any of this through.""  https://www.eenews.net/stories/1061854241 … via @EENewsUpdates #publiclands","['#blm', '#publiclands']",0,0,0,PDT,,
785,2019-12-19 10:39:44,magacat2018,"#Democrats Trying to impeach @realDonaldTrump for nothing explains how they have put so many people in jail who shouldn't be there. #BLM #ACLU #JustMercy Meanwhile, they let the criminals in their party run rampant. @HillaryClinton @Comey @JohnBrennan @joebiden @BarackObama","['#democrats', '#blm', '#aclu', '#justmercy']",0,0,0,PDT,,
786,2019-12-19 10:25:03,captain_hoho_,Deep State CEO. #GayNYC Supreme. Opinions are mine & also correct. “Nice is different than good.” #resist #BLM #NeverAgain #LGBTQ #ImpeachTheMF #DeleteFacebook,"['#gaynyc', '#resist', '#blm', '#neveragain', '#lgbtq', '#impeachthemf', '#deletefacebook']",4,0,0,PDT,,
787,2019-12-19 10:24:22,emmxkathryn,"yes, i’m looking at you, taylor swift, camilla cabello, and countless other celebs who think it’s okay to wear a gay pride flag or tweet about #BLM after calling people the n word.",['#blm'],0,1,1,PDT,,
788,2019-12-19 10:01:09,Prison_Health,Book - The #Portland Black Panthers: Empowering Albina and Remaking a City  http://ow.ly/T3UG307AGCd  HT @UWAPress #BLM #BlackLivesMatter #BlackPanthers pic.twitter.com/ypoJ1BTKUr,"['#portland', '#blm', '#blacklivesmatter', '#blackpanthers']",0,0,0,PDT,,
789,2019-12-19 09:30:45,AliM20698746,"The #FakeNewsMedia has divided this country. Obama had already divided the country. Remember #BLM ? Remember Al Green & Maxine Waters rt after election? Draw a line & harrass deplorables. HRC calling  millions, deplorables. Thats the division, not Trump. Short memory?","['#fakenewsmedia', '#blm']",4,0,0,PDT,,
790,2019-12-19 08:49:50,SmartAmerica,"If we wanted to show just how fucked up the FBI is, we ALSO could also have done movies on:

Malcolm X
MLK
NAACP
The Black Panthers
#BLM

Please sit down and shut up, White man. 🖕  https://twitter.com/billmaher/status/1207381197795389440 …",['#blm'],0,0,0,PDT,,
791,2019-12-19 08:42:24,Y__Barragan,"Check out fascinating interview happening NOW on NPR @WNYC reflecting on progressive/left movements in the 2010s/past decade, from #Occupy, #BLM w/@deray, @Mark__Bray, & @agrenell: https://www.wnyc.org ","['#occupy', '#blm']",6,0,2,PDT,,
792,2019-12-19 08:20:25,BadTwitBot,Question for #BLM twitter. Would you tactically align with #confederate army to oppose Bannon continuing the revolutionary war? don't @ me,"['#blm', '#confederate']",0,0,0,PDT,,
793,2019-12-19 08:14:17,iamaniowamom,"Evidently she needs to read her bio...""Nana, Mom, Partner, Sister, Friend, Feminist, Atheist, Humanist,   🇺🇸Ex-pat in 🇨🇦, #BLM #metoo #timesup #Resist. Cats, books and wine. Nullius in verba. Be Kind"" https://twitter.com/DLoesch/status/1207681181246009349 …","['#blm', '#metoo', '#timesup', '#resist']",0,0,1,PDT,,
794,2019-12-19 08:01:15,rmlunn,"Republicans don’t have hate parades, destroy property, burn down buildings, injure people, cause fights and chaos like #Democrats do (#ANTIFA, #BLM), when they don’t get their way. First, most of us work. Second, we vote, use the laws of the land, to get our way. #DrainTheSwamp","['#democrats', '#antifa', '#blm', '#draintheswamp']",1,0,0,PDT,,
795,2019-12-19 07:57:43,Adventurer_C,"Good things come to those who hustle 
.
Great surprise gift from a teacher, just in time for some new goal setting!
.
.
.
.
.
#hustleharder #hustle #goals #blm #blacklivesmatter  https://www.instagram.com/p/B6QoXZOA8hf/?igshid=12w7gu69koaa0 …","['#hustleharder', '#hustle', '#goals', '#blm', '#blacklivesmatter']",0,0,0,PDT,,
796,2019-12-19 07:38:47,cantstopnoww,This does not represent The United States.  This is a hateful racists party. #ACLU #Impeached #blm #everyone https://twitter.com/IAmSophiaNelson/status/1207659420320194560 …,"['#aclu', '#impeached', '#blm', '#everyone']",0,0,0,PDT,,
