,date,username,tweet,hashtags,nlikes
0,2020-06-20 16:59:33,johndavidfraley,"Last week, we put SIX TIMES more people onto a two-lane Seattle street than the president drew to a nationally publicized rally today #BLM",['#blm'],33
1,2020-06-20 16:55:56,JennaListonTV,"How BEAUTIFUL is this?!🌈

The #LiftEveryVoice mural was painted today at E Tulare Ave & Rowell Ave.

Now artists in the community are painting the walls around the building to show people the fight for #BLM is not over.  pic.twitter.com/t9Lq19ZMaB","['#lifteveryvoice', '#blm']",24
2,2020-06-20 16:55:29,DjinnAndTonic_,Let me spell out what the Tweet means. BLM want to abolish the police because of their use of force.  The police officer used force to stop the terrorist and is being praised by everyone. #BLM will not be happy about that. Understand now?  Or too much for you?,['#blm'],19
3,2020-06-20 16:54:39,AlexCaesar,The news won’t show you this peaceful bike ride protest. #blacklivesmatters #blm #nyc #newyork #bikenyc pic.twitter.com/wmNDywXOKH,"['#blacklivesmatters', '#blm', '#nyc', '#newyork', '#bikenyc']",53
4,2020-06-20 16:54:08,AliceD777,Time to cancel #BLM,['#blm'],54
5,2020-06-20 16:53:55,david_tarleton,Amazing turnout at the Kids March for Black Lives Matter in Oak Park today! ⁦@adria_dawn⁩ #blm #kidsforblm #blacklivesmatter pic.twitter.com/WQKNtMqxvA,"['#blm', '#kidsforblm', '#blacklivesmatter']",17
6,2020-06-20 16:53:45,schnawsons,They did arrest one woman who was sitting on the ground wearing a #BLM shirt. I could see how she terrified wanna be rally attendees,['#blm'],13
7,2020-06-20 16:53:32,Ms_Rice10,"""I understand that I will never understand. However, I stand with you."" #BLM  pic.twitter.com/kscTztP0dl",['#blm'],30
8,2020-06-20 16:50:38,ImMrAbarca,"Today marks the first time I have ever marched for a cause. I’ve attended community events prior for various causes, but never marched. I’m so glad I did this. BLACK LIVES MATTER!!! #BLM ✊🏽  pic.twitter.com/ksROf5PL8g",['#blm'],60
9,2020-06-20 16:49:45,DjinnAndTonic_,They were referring to #BLM's aims of abolishing the police.  #ThickAsPigShit,"['#blm', '#thickaspigshit']",14
10,2020-06-20 16:47:00,_daniellelickey,My brother is at a skating protest in San Diego! I love it 🤣☺️ #rollingforrights #blacklivesmatter #blm,"['#rollingforrights', '#blacklivesmatter', '#blm']",15
11,2020-06-20 16:46:29,ISASaxonists,"CW: hunting & death

Eric Trump just called #Blacklivesmatter protesters ""animals."" If that isn't a dog-whistle... 

#BLM protesters want their humanity recognized & chinless wonder still has the audacity to refer to them as ""animals."" This is what he & his ilk do to animals.  pic.twitter.com/OfSpa0Esh5","['#blacklivesmatter', '#blm']",28
12,2020-06-20 16:40:57,d9monti,.⁦@yolleboll⁩ ran the 1200m at #ReturnOfTheDual with #BLM on her arm. She clocked 3:21.0h in a solo run (⁦@hgreenrun⁩ withdrew with an injury). pic.twitter.com/SY5t8uiU4n,"['#returnofthedual', '#blm']",27
13,2020-06-20 16:39:41,1rylpydr,color me shook at the first & only time @JoeTalkShow defended anyone black - & it happens to be these two mindless puppets that serve no other purpose than the token “black supporter” for cheeto fuckface! i’m screaming 😂 #BLM #BlackLivesMatter,"['#blm', '#blacklivesmatter']",23
14,2020-06-20 16:39:15,NicolleParadise,"🚲🚲🚲 Thousands of #BLM cyclists, chanting + protesting through Midtown Manhattan ( @ 42nd / 10th).

@protest_nyc #nycprotests #NYC pic.twitter.com/oktYgLF2FX","['#blm', '#nycprotests', '#nyc']",112
15,2020-06-20 16:39:04,Arthemissah,"#BLM, the “cause” so righteous and just, they have to force it on people. 
Good thing their culture is to kill and devour each other. It’s only a matter of time",['#blm'],30
16,2020-06-20 16:38:40,pedsmd2b,"Sharing this again bc I thought it was a very useful resource. I've recommended it to my ODI as a starting point. Its free. I have nothing personal to gain by sharing & no affiliation.  https://www.driep.org/ 
#BLM  https://twitter.com/pedsmd2b/status/1273043084771721218 …",['#blm'],13
17,2020-06-20 16:37:38,mbjewel,"The insults he just threw out at the #BLM protesters and calling them the smallest group in the country is horrendous. These racists need to be removed from society... oops, I mean, your White House.",['#blm'],45
18,2020-06-20 16:37:10,leeroyj40850224,"BLACK LIVES MATTER!

END H1B, OPT, and other VISAS!

Silicon Valley has lowest hiring rates of African Americans and yet they beg for foreign workers!

Time to end the cheap labor flow and hire/train Black Americans in tech!!

#BLM
#NoH1B","['#blm', '#noh1b']",48
19,2020-06-20 16:36:27,TheClarkeStroud,All lives matter cannot matter until #BlackLivesMatter period.  #WakeUpAmerica #Everyday #BLM,"['#blacklivesmatter', '#wakeupamerica', '#everyday', '#blm']",354
20,2020-06-20 16:33:51,1am_cat,"I have been anxious about today's Trump hate rally and the safety of #BLM protesters, but it seems to have ended with a whimper. Trump got no photo-ops just a flaccid crowd in a covid cloud. Suffering continues, but for Trump today was a bust. Let's finish this in Nov.",['#blm'],87
21,2020-06-20 16:33:12,dianemariereid,I think it’s grotesque to see the media licking their lips in anticipation of violence tonight in Tulsa. Both sides are free to speak. And I don’t want to see anyone get hurt. Especially the children at that rally. Let it run its course and we’ll march again tomorrow. #BLM,['#blm'],16
22,2020-06-20 16:32:34,raxsha,trying to understand why Sheriff McFadden has put so much work into #BLM PR only to turn around and brutally arrest 43 jail support volunteers on Thursday 🤔🤔  https://twitter.com/andygoh/status/1273588982492942336 …,['#blm'],18
23,2020-06-20 16:32:23,steezedoutsk8,"🖤🖤🖤 Downtown SD, just a fraction of the skaters supporting BLM today! 📹 Grant Brittain #BLM  pic.twitter.com/r86ohJWcKn",['#blm'],102
24,2020-06-20 16:31:04,mollyhf,#Blm protesters marching in traffic #Tulsa #Trump rally pic.twitter.com/XSCZz00yOh,"['#blm', '#tulsa', '#trump']",22
25,2020-06-20 16:30:50,DrJWilliams4,"Another capture of the Bloomingdale NJ  #BLM protest that I, 
@mbmitchellj, and @DrSeanKWilson were asked to attend and speak.  FYI, it's a multi-thread capture!  ✊🏿🙌🏿 #BLM  https://twitter.com/EyesOnNJ/status/1274459519456874497 …","['#blm', '#blm']",14
26,2020-06-20 16:29:58,mikesimonsphoto,A scuffle just broke out between Trump supporters and protesters. Someone discharged pepper spray or some other chemical irritant. #trumptulsarally #tulsa #blm  pic.twitter.com/gfwwOOMypF,"['#trumptulsarally', '#tulsa', '#blm']",90
27,2020-06-20 16:28:41,RupertaMargate,And was whipped up by #BLM hatred and scorn.,['#blm'],52
28,2020-06-20 16:26:00,EthicalHackerXs,Here is a leader that #BLM should listen to. ⬇️⬇️🇺🇲  https://twitter.com/theangiestanton/status/1274482511628906503 …,['#blm'],28
29,2020-06-20 16:24:54,isaiahdidit,"Healthcare Workers For Black Lives 🖤💒

4:20pm Oakland CA 🌆 #blm  pic.twitter.com/plBF4fQ5EC",['#blm'],38
30,2020-06-20 16:18:23,DrBBouffard,Proud to stand in #allyship #blm peaceful protest for the #children !  @YRDSBKids @VACAORG @PeelBlackParent @yorkregionaacc @charlineGrant @equitychatter @Sflecce @ONeducation #yrdsb #yorkregion #edchat #onpoli #topoli @CP24 pic.twitter.com/Xt92kdS61Q,"['#allyship', '#blm', '#children', '#yrdsb', '#yorkregion', '#edchat', '#onpoli', '#topoli']",20
31,2020-06-20 16:17:35,DecelleEleanor,"drove through downtown tulsa today doing some errands. i kept getting glares from people walking to the BOK and i might have a guess as to why :) #BLM 
(sorry my car is dirty)  pic.twitter.com/R1Jv0Fmnr9",['#blm'],19
32,2020-06-20 16:14:23,RupertaMargate,"Whoever the killer is, the media and authorities will be desperately trying to ensure he is not linked to #BLM protests. They can't afford to admit that failing to stop all this BLM hate  and anti-white hostility to spread led to the deaths. #Reading","['#blm', '#reading']",39
33,2020-06-20 16:14:16,otiose94,#Corruption #covid19. #sportsrorts Changing #Women by @roweafr  pic.twitter.com/XDg2rHswim #auspol #BLM #Insiders,"['#corruption', '#covid19', '#sportsrorts', '#women', '#auspol', '#blm', '#insiders']",16
34,2020-06-20 16:13:28,Faye_Corgasm,"Any chance we can stop labelling people. If you are an arsehole your skin colour, political orientation, sexuality or background doesn’t matter. If you hurt people verbally, physically or emotionally you are a C*nt. #Readingstabbing #BLM","['#readingstabbing', '#blm']",17
35,2020-06-20 16:08:22,lindagreene,DC acclaimed artist #LutherWright painted this powerful mural for Anacostia Organics ⁦@AnacostiaO⁩ ⁦@MayorBowser⁩ ⁦@AnacostiaBID⁩ ⁦@JohnFalcicchio⁩ ⁦@trayonwhite⁩ #BLM #PaintTheStoreFronts ⁦@TheAdvoc8te⁩ #DCBlackHistoryCommittee ⁦⁦ pic.twitter.com/2GVX1v2rhY,"['#lutherwright', '#blm', '#paintthestorefronts', '#dcblackhistorycommittee']",13
36,2020-06-20 16:06:58,RupertaMargate,"The #ScumMedia has been backing #BLM for weeks, depicting the white crowds who responded to them as violent trouble makers. Now three white men have been stabbed to death, and the media is desperately underplaying its part in the chaos and horror.","['#scummedia', '#blm']",56
37,2020-06-20 16:06:26,phil_hellmuth,"I’m FOR equality: not a democrat, not a republican, but FOR equality. Walked in this peaceful protest #BLM #NotAboutPoliticsForMe #POSITIVITY pic.twitter.com/mYYBkfIfOk","['#blm', '#notaboutpoliticsforme', '#positivity']",655
38,2020-06-20 16:05:34,FreddieRokison,"And now with news confirmimg that BLM had NOTHING to do with the attack, we’ll see headlines change and the media ignore the arguments they started from insinuations. Respect the dead, don’t use them for your agenda. Fuck the stabbing scum. #Readingstabbing #ForburyGardens #BLM","['#readingstabbing', '#forburygardens', '#blm']",22
39,2020-06-20 16:02:32,ONC3X,"For years she has been a racist and has no problem with Genocide but @Twitter thinks she deserves to be verified. Please report this racist!
#BLM #BlackLivesMatter https://twitter.com/InstSocEcology/status/1274450808436711425 …","['#blm', '#blacklivesmatter']",14
40,2020-06-20 16:02:16,caetuscap,Trump wins with bigger margin vs 2016.   one word:   #BLM,['#blm'],24
