,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2018-12-30 15:58:03,MOHAVVKJOHNSON,Black people who wear crocs let their white friends say nigga. #BLM,['#blm'],1,0,0,PDT,,
1,2018-12-30 15:53:43,rjoseph7777,Russian black vote effort relied on blurred line between honest criticism and blaming both parties  https://www.dailykos.com/story/2018/12/30/1821464/-Russian-black-vote-effort-relied-on-blurred-line-between-honest-criticism-and-blaming-both-parties … Mostly didn't work. #BLM,['#blm'],1,0,0,PDT,,
2,2018-12-30 15:51:05,MagaAngeles,"This is a restroom at a restraunt in my neighborhood. No wonder why the children of Liberals are so confused! 
#Women #BLM #LosAngeles pic.twitter.com/hcXcMtbFmx","['#women', '#blm', '#losangeles']",1,0,0,PDT,,
3,2018-12-30 15:41:32,BLM_Report,Mother of Dwyane Wade’s Love Child Gets Slammed for Appearing to Demean Gabrielle Union’s Use of Surrogate:  http://bit.ly/2LE1Qny  #BLM #blacklivesmatter #BLMNews pic.twitter.com/kJfK972tBi,"['#blm', '#blacklivesmatter', '#blmnews']",0,0,0,PDT,,
4,2018-12-30 15:11:24,BLM_Report,"Foot Doctor Diagnosed Trump with Bone Spurs to Avoid Vietnam Draft as a ‘Favor’ to Fred Trump , Report Alleges:  http://bit.ly/2Teav2G  #BLM #blacklivesmatter #BLMNews pic.twitter.com/hcoRmJnpmF","['#blm', '#blacklivesmatter', '#blmnews']",0,0,0,PDT,,
5,2018-12-30 15:08:24,RuralLefty,"""Since 2014,the national rate of fatal drug overdoses has increased more than twice as fast among African Americans as among whites, according to the Centers for Disease Control and Prevention. In this new explosion of deaths, the nation’s capital....""#BLM  https://www.washingtonpost.com/graphics/2018/local/opioid-epidemic-and-its-effect-on-african-americans/?utm_term=.a56842f2dafe … https://twitter.com/jmalt87/status/1078028280463347718 …",['#blm'],0,0,0,PDT,,
6,2018-12-30 15:06:11,bb_cast,"Just finished reading #WhenTheyCallYouATerrorist by #BLM cofounder, Patrisse Khan-Cullors and wow I was sobbing and had goosebumps throughout it all! Thank you so much for your dedication and passion","['#whentheycallyouaterrorist', '#blm']",2,0,0,PDT,,
7,2018-12-30 15:04:03,mimimacwhat,"New Nite Owl Music Video! 4th one this month!! In Loving Memory Of Mike Brown, Anthony Lamar Smith, & Bassem Masri. #BLM  https://youtu.be/GewDc6s34tY ",['#blm'],0,0,0,PDT,,
8,2018-12-30 14:50:19,niteowlhiphop,NEW Nite Owl Music Video (4th one this month!) What. #BLM  https://www.reverbnation.com/artist/video/15915433?utm_campaign=fanreach&utm_content=video_link&utm_medium=socialmedia&utm_source=twitter&st_id=TwitterPost_295721 …,['#blm'],0,0,1,PDT,,
9,2018-12-30 14:12:44,souljournertru,Love to all.  It still gives me a lift to see Erica posting tweets.  I remember when hearing from her on the TL was a big part of every day in the early #BLM days.,['#blm'],3,0,1,PDT,,
