,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-06-10 16:56:16,MaiaJoelle,"Just some encouragement for you guys in the midst of the chaos. 

Love you guys. #BlackLivesMatter #BLM  pic.twitter.com/TEMzbELHjg","['#blacklivesmatter', '#blm']",13,0,5,PDT,,
1,2020-06-10 16:56:00,lilo623,"Hundreds of protesters enter Seattle City Hall along with councilmember Sawant
I warned folks about #Socialist #Seattle City Councilmember Kshama Sawant!
She's terrible.
@cmkshama @SocialistAltSEA @SocialistAlt
@isa_socialist #BLM
 https://q13fox.com/2020/06/09/hundreds-of-protesters-enter-seattle-city-hall-along-with-councilmember-sawant/ … https://q13fox.com/2020/06/10/protesters-take-over-streets-outside-abandoned-spd-east-precinct/ …","['#socialist', '#seattle', '#blm']",17,0,19,PDT,,
2,2020-06-10 16:55:27,shboogies,"Champs vs Stars - Johnny asks Ariane if she’s from Flavor of Love(ended in '08 on VH1, mostly black female cast)THIS IS YOUR STAR. Hold HIM accountable! 12 YEARS WORTH OF THIS BEHAVIOR @ChallengeMTV @BunimMurray #TheChallenge35 #BLM  ©2017 Viacom  pic.twitter.com/GC6liqHdO3","['#thechallenge35', '#blm']",99,9,24,PDT,,
3,2020-06-10 16:55:26,millerclaytonj,"That’s because we’re trying stop police brutality and racism olivia 
#BLM  https://twitter.com/olivia_bsmith/status/1270146525675601922 …",['#blm'],10,0,0,PDT,,
4,2020-06-10 16:53:59,Romulus_Himself,"yoooo BulletWill is running a fund rasier with matcherino for #BLM  All money donated to this matcherino will be sent to the Minnesota Freedom Fund. 
The Matcherino closes Thursday night.

The coupon code is ""BlackLivesMatterFGC"" and is worth $1 instead of the normal $0.50  https://twitter.com/SuperBulletWill/status/1270706919196549121 …",['#blm'],13,0,12,PDT,,
5,2020-06-10 16:53:54,SivyBrie,"To all LGBTQ+ members, let’s not forget that we have the rights we do today in thanks to the Trans women and men of color who threw the first brick at Stonewall. Regardless of less media coverage, we can’t forget that BLM is still an ongoing movement that needs everyone. #BLM  pic.twitter.com/YamV82Rohi",['#blm'],10,0,3,PDT,,
6,2020-06-10 16:52:41,stealthygeek,"Obvious from the last few weeks, from #BLM protests, to fights over Confederate monuments, naming of military bases, and the anti-lynching bill, the Civil War never ended.",['#blm'],64,5,6,PDT,,
7,2020-06-10 16:52:00,Ruptly,Thousands rally in #Amsterdam's Nelson Mandela Park as #BLM protests continue  pic.twitter.com/vfuJhcMwcE,"['#amsterdam', '#blm']",62,16,54,PDT,,
8,2020-06-10 16:51:40,ninamehta,"The #BLM movement is ~seven years old, not two weeks. There's no final exam and no one is going to give you a gold star for not being racist. So, rest if you need it, because this work keeps going for the rest of our lives. And your kids.",['#blm'],29,1,2,PDT,,
9,2020-06-10 16:45:49,shawnmicallef,Parkdale global #BLM  pic.twitter.com/jBI2ne5d7p – at Beaty Avenue Parkette,['#blm'],36,1,3,PDT,Beaty Avenue Parkette,
10,2020-06-10 16:45:38,kburleyyy,Good job from @EASPORTSNHL to have the statement when starting the game. Nice to see that @JesseBlake @TicTacTOmar and others flagging racist behaviour is changing the game for the better #BLM  pic.twitter.com/FoSp7EeZ5Q,['#blm'],21,0,1,PDT,,
11,2020-06-10 16:44:01,illGatesMusic,"TL;DR:

BLM: Protest police brutality

Police: Brutalize everyone

Everyone: ""WTF!? #BLM!""

Now you're caught up.",['#blm'],25,2,5,PDT,,
12,2020-06-10 16:42:36,toyabushharris,My Sons First BUT NEVER their LAST Protest... #BLM #theirlivesmatter #blackfamily WE ALL BLEED THE SAME COLOR! #racismisapandemictoo pic.twitter.com/mQ381C2Wat,"['#blm', '#theirlivesmatter', '#blackfamily', '#racismisapandemictoo']",112,3,1,PDT,,
13,2020-06-10 16:42:24,ImamAsimH,"Allah said in the Quran... (read in the pic) “different languages and COLOURS”, for those who have knowledge, this is a sign and for those who don’t, they are ignorant. There’s no cure to ignorance but knowledge.

Say no more! #BlackLivesMatter #blm  pic.twitter.com/7PbkeshDqg","['#blacklivesmatter', '#blm']",47,0,7,PDT,,
14,2020-06-10 16:41:11,SadieMaeTN,"I am so glad to see NASCAR is doing away with the hateful symbol, the Confederate flag. I think any hateful symbol or monument should be removed. They represent a very sad time in our history. We are all equal. #BLM #EqualRights
#ONEV1 #wtpTEAM https://twitter.com/NASCAR/status/1270819350644211719 …","['#blm', '#equalrights', '#onev1', '#wtpteam']",119,6,63,PDT,,
15,2020-06-10 16:39:37,BuckeyeVote2020,"#BLM needs to crash it big time.

Make the DC protest look like a day in the park.

#BLMProtestTulsa","['#blm', '#blmprotesttulsa']",64,11,18,PDT,,
16,2020-06-10 16:39:18,CoachCraigCase,"In my life, I'm constantly striving to 1) Love everyone the best I can.  2) Do the next right thing.  If you don't know what you can do to help in tough times, start with these two actions.  

We must have unity and we must heal. #MakeItImportant #BLM  https://twitter.com/Lion_Athletics/status/1270453111547506688 …","['#makeitimportant', '#blm']",33,0,5,PDT,,
17,2020-06-10 16:38:54,Px4Compact,"#BLM If we have to remove every monument to a historic figure because of their sins, there is only one man the world can put on a pedestal.    Believe on the Lord Jesus Christ, & you will be saved.  pic.twitter.com/J7rc0bnVuf",['#blm'],20,2,20,PDT,,
18,2020-06-10 16:36:20,ToryShepherd,The new political correctness? How “free speech” bullies are weaponising words like “woke” to silence critics. Do not read the comments. #BLM  https://www.adelaidenow.com.au/rendezview/tory-shepherd-anus-racism-study-shows-just-how-bad-australias-bias-is/news-story/fb555717a6162f11d59e771f105d824b …,['#blm'],16,4,10,PDT,,
19,2020-06-10 16:34:54,markapoolo,"Will you stand for the black community even when #BLM stops trending? 
I hear you 
I stand with you 
✊🏿✊🏽✊🏼✊🏾✊🏻  pic.twitter.com/hSqxAbw3MI",['#blm'],40,6,22,PDT,,
20,2020-06-10 16:34:19,bennn222,"You started it with the #BLM bandwagon,race baiting and giving George Floyd saint status....what the feck do you think was going to happen?  I see you're not showing the video of the Officer being beaten,strangled and made to knee in his own blood while being filmed...well done👏",['#blm'],64,1,3,PDT,,
21,2020-06-10 16:33:06,leabrown_,"Columbus, OH 
#BLM  pic.twitter.com/1KVOgo135Q",['#blm'],31,1,19,PDT,,
22,2020-06-10 16:30:50,JazzRGK,Hey just an update on my situation I am looking for a hotel I was not able to keep my apartment I really need help getting the money together I have cash app $reptileempress and Venmo I will send content. #BLM #blacklivesmatter #cashapp #HelpingHands please retweet.,"['#blm', '#blacklivesmatter', '#cashapp', '#helpinghands']",133,9,200,PDT,,
23,2020-06-10 16:29:38,DrThomasPaul,"#BlackLivesMatters but not Asian Lives, White Lives, Hispanic/Latin Lives, etc.

You made it all about you when more non-blacks are harmed by police and at least 90% of all attacks to blacks are by fellow blacks and they abort 40% of all babies.

Who needs therapy? #BLM/Blacks.  https://twitter.com/DrThomasPaul/status/1270857961749897216 …","['#blacklivesmatters', '#blm']",23,5,16,PDT,,
24,2020-06-10 16:26:22,feminitt,"End Police Brutality.

#TTBLM #BLM #NoJusticeNoPeace pic.twitter.com/2zhMOeYzH2","['#ttblm', '#blm', '#nojusticenopeace']",14,0,4,PDT,,
25,2020-06-10 16:25:59,RebelNewsOnline,"#Antifa takes over SIX BLOCKS in #Seattle

MORE:  https://www.rebelnews.com/antifa_takes_over_six_blocks_in_seattle …
#BLM #tcot #MAGA pic.twitter.com/XTdddOwhm3","['#antifa', '#seattle', '#blm', '#tcot', '#maga']",30,15,24,PDT,,
26,2020-06-10 16:24:51,LifeOfLowKeyDee,Bryant park currently has a nice turn out of peaceful protestors #BlackLivesMatternyc #blm #BLMprotest #nycprotests #nycprotest pic.twitter.com/4rinOphkkb,"['#blacklivesmatternyc', '#blm', '#blmprotest', '#nycprotests', '#nycprotest']",18,1,5,PDT,,
27,2020-06-10 16:24:02,Joy_Villa,THE TRUTH ABOUT #BLM  https://twitter.com/KingfaceF1/status/1270856718487097346 …,['#blm'],247,12,122,PDT,,
28,2020-06-10 16:23:11,MaierViv,#Windrush: These MPs voted to block release of secret documents #BLM  https://inews.co.uk/news/politics/these-are-the-mps-who-voted-to-keep-government-windrush-document-secret-150542 …,"['#windrush', '#blm']",20,1,28,PDT,,
29,2020-06-10 16:22:21,VenusGx,"...after he was chased for not dimming his headlines. #BLM 
“I’m not resisting … Sir, I can’t breathe! Please. Please!” #JavierAmbler sobbed, while being filmed by a crew from A&E’s “Live PD,” who didn’t immediately release the footage to investigators https://nypost.com/2020/06/09/black-man-died-after-being-tased-while-saying-i-cant-breathe/ …","['#blm', '#javierambler']",21,0,21,PDT,,
30,2020-06-10 16:22:21,Kylie_Reagan,"Some of my Dads latest drawings to showcase some positivity through these historical times 
#BLM  pic.twitter.com/rZZkGocTk9",['#blm'],23,0,3,PDT,,
31,2020-06-10 16:22:12,efesocollins,"Regarsless of the position u take on #BLM, this is a clear example of the power imbalance in schools. Facilitated learning means that teachers aren't the sole source of knowledge and power. Good on the students for taking a stand.  http://www.rnz.co.nz/news/national/418751/diocese-to-meet-school-after-black-lives-matter-posters-torn-down …",['#blm'],180,7,25,PDT,,
32,2020-06-10 16:20:23,justice_arman,"The #DMsGuild is currently running 3 charities, benefiting #blm, the NAACP Legal Defense Fund, and the National Police Accountability Project. 

My Mithral Best Seller, Devil's Advocate, is part of the Legal Defense Fund bundle. All proceeds go to the fund! (Link below 👇)
#dnd pic.twitter.com/Bo04tcOlhk","['#dmsguild', '#blm', '#dnd']",37,3,13,PDT,,
33,2020-06-10 16:20:18,RamirezJeanine,Protest in #Brooklyn to demand a court officer be fired after a racist post on her social media page. #nycourts #BLM  pic.twitter.com/ZN6vZ6hcXU,"['#brooklyn', '#nycourts', '#blm']",42,2,13,PDT,,
