,date,username,tweet,hashtags,nlikes
278,2020-06-16 10:13:44,zenanass22,The only people who don’t think black people matter are the people protesting with #BLM. When the hell did a person with dark skin not matter? Who told them they don’t matter? Oh right themselves. If I say BLM then I’d have to admit that they infact don’t matter. Just saying 😘,['#blm'],18
279,2020-06-16 10:13:09,EWoolleyWard8,"1/ I'm pleased the NOM ""Calgary's Commitment to Anti-Racism"" passed unanimously at #yyccc last night.

The meeting continues today at 1pm. I've brought a motion arising to facilitate #BLM & #BIPOC murals in Calgary with local artist Katie Green, @pinkflamingoyyc & @yycbump pic.twitter.com/Iq6HHqWD8x","['#yyccc', '#blm', '#bipoc']",20
280,2020-06-16 10:12:02,andrewpiercey,I’m so fucking psyched about this #ATX #BLM  https://twitter.com/ThomasCorrea/status/1272924879747252225 …,"['#atx', '#blm']",19
281,2020-06-16 10:11:23,scrufacejean,"I’m FREE

 https://youtu.be/ubj2iGTNf6E 
#BLM",['#blm'],27
282,2020-06-16 10:09:02,GinSecurities,its huge and its negative and getting completely hidden by USA  media which wants you to believe relocking down country and #BLM 'protests' are the only things going on in world,['#blm'],25
283,2020-06-16 10:08:27,AsiaJehn,Has that shirt on then gon go say this on live. People don’t care for #BLM they just want clout. Disgusting  pic.twitter.com/eewaJrjuR2,['#blm'],1326
284,2020-06-16 10:08:07,DrLindzyONeal,I've really wanted to return to twitter to talk about science. But I just don't think I currently have anything important enough to be said. I've typed out probably 100 tweets and just deleted them because nothing feels like it matters as much as the #BLM movement.,['#blm'],14
285,2020-06-16 10:07:43,BIONICNERDZ,"""See, I never thought I'd live past twenty
Where I come from some get half as many
Ask anybody why we livin' fast and we laugh, reach for a flask
We have to make this moment last, that's plenty""
--- @Lin_Manuel (Hamilton cir. 2015)
#blm 

...think about it...",['#blm'],183
286,2020-06-16 10:07:04,EiuSoccer,The Summit League Men's Soccer programs are Together As One! #SayNoToRacism #BLM #TheSummitLeague #NCAA #NCAASoccer pic.twitter.com/EZtFjvUzgr,"['#saynotoracism', '#blm', '#thesummitleague', '#ncaa', '#ncaasoccer']",27
287,2020-06-16 10:05:21,StevenCanals,"A word to my non-Black Latinx people. Some of us identify as Afro-Latin because we’re Afro-descendants, invisibilized by our own because we aren’t white passing & aren’t denying our Blackness. The Latinx diaspora includes Black people. Black issues are Latinx issues! #BLM  https://twitter.com/TruthBeToldKQED/status/1272930430073712642 …",['#blm'],135
