,date,username,tweet,hashtags,nlikes
0,2020-06-18 16:59:24,namelessism,"This time, we’re taking everyone with us. #WeMarch 🥁 for AMERICA with an A. She’s been silenced. She’s been beaten. She’s been attacked from every angle and side. But she will RISE and recover, stronger—and wiser than ever before. #Biden2020 #America #VoteTrumpOut #DACAWins #BLM  pic.twitter.com/0N9OY0yL2t","['#wemarch', '#biden2020', '#america', '#votetrumpout', '#dacawins', '#blm']",17
1,2020-06-18 16:58:41,DionLimTV,Other #BlackLivesMattter quotes inside @OaklandFortunes Solidarity Cookies from @DrIbram’s book How To Be An Antiracist. #blm  pic.twitter.com/4JOj5YyyT6,"['#blacklivesmattter', '#blm']",54
2,2020-06-18 16:58:34,BrwnSkinMatters,"I've received many requests for more side-by-sides. This is the fungal infection tinea versicolor.

#MedStudentTwitter #dermtwitter #BLM  pic.twitter.com/CR2EH7ZErF","['#medstudenttwitter', '#dermtwitter', '#blm']",473
3,2020-06-18 16:57:31,SJJB55,"...as ignorant as you appear to be about the aims of #BLM.
I’m sure you can find them with only a cursory search of the internet.",['#blm'],20
4,2020-06-18 16:56:41,TVCTwitch,"Oh, btw we didn't forget. 

#BLM  pic.twitter.com/Z79KW9uJCd",['#blm'],38
5,2020-06-18 16:55:22,pkober,"If you’re supporting #BLM while living in a liberal, white, and segregated community, please read this amazing book and start asking how you can push for change in YOUR neighborhood.  https://play.google.com/store/books/details?id=SdtDDQAAQBAJ&gl=us&hl=en-US&source=productsearch&utm_source=HA_Desktop_US&utm_medium=SEM&utm_campaign=PLA&pcampaignid=MKTAD0930BO1&gclid=Cj0KCQjwoaz3BRDnARIsAF1RfLd3MYl-AZYds84G5_-BhSAUGzudVGYk6uCO-K26t69xn5eNN1AYkMIaAmoBEALw_wcB&gclsrc=aw.ds …",['#blm'],14
6,2020-06-18 16:52:31,NadialloydTO,"My son and I have been collabing over the last few weeks and are very proud to launch our new Black Lives Matter face mask. So proud!

Limited quantities available. 

 http://Nadialloyd.com 
#BLM #BLMTO #Toronto #Torontoskyline #BLMmask #Facemask #masksforsale #nojusticenopeace pic.twitter.com/gTvYSwMSO7","['#blm', '#blmto', '#toronto', '#torontoskyline', '#blmmask', '#facemask', '#masksforsale', '#nojusticenopeace']",19
7,2020-06-18 16:51:40,TaylaJaye,Jeffree Star really be staying quiet during the #BLM conversations eh 🤔 lmfao why u stfu all of a sudden,['#blm'],15
8,2020-06-18 16:51:09,RealHotTake,"""For co-host Jamar Thompson, the topic is also related to what's happening now w/ protests & #BLM. 'Racism is like a tree & police brutality & environmental racism are just a couple of branches off that giant tree.'"" via @ElissaNadworny & @sequoiastweets https://www.npr.org/2020/06/17/879041024/brooklyn-students-win-student-podcast-challenge-with-show-on-race-and-climate-ch …",['#blm'],30
9,2020-06-18 16:46:31,DannieEngle,"The community @salkinstitute have been using the chalkboards to show support for #BLM. We are working on concrete action items, but until we have more updates, enjoy this amazing artwork by Miriam Gullo  pic.twitter.com/Y93rVLB6Ut",['#blm'],44
10,2020-06-18 16:46:22,NijayKGupta,"I am launching my Northern Seminary community (and beyond) Philippians course tonight. I have decided to do a short lecture tonight on ""SOLIDARITY AND DIFFERENCE: Paul, Philippians, and #BLM in the Church""

Pastors, profs, and teachers, we need to talk about this.  pic.twitter.com/2xwO8fCsRy",['#blm'],13
11,2020-06-18 16:46:04,TheSciBabe,"Still- if you live with high risk people, consider skipping the protests. If you're a HCW exposed to covid patients regularly, skip the protests. If you're an asshole who won't wear a mask, skip the protests. 

Wear masks, keep some distance, bring hand sanitizer. #BLM",['#blm'],40
12,2020-06-18 16:42:15,tm3daboss,He went above the bare minimum and actually marched through the streets amongst the people. Imo that's better than a black box and #BLM,['#blm'],50
13,2020-06-18 16:38:11,RealAdamBelusko,"I'm auctioning off an original @marcusanartist painting on eBay  https://ebay.to/2YfXgUK  

100% of the proceeds go to Urban Bridge, a NE OKC community program that provides ""J's for A's!"" 

Jordans for at risk youth that make straight A's. 

#BLM #Batch5 #OKStartups #GivingBack","['#blm', '#batch5', '#okstartups', '#givingback']",15
14,2020-06-18 16:37:08,femme_phememe,"Seeing all the attention, I’ll promote something:

Please stand for public schools, not charters. 
Charters are well-marketed devices of the investment class - what Goldman-Sachs alum think schools should be.
They’re vehicles for siphoning $ into private mgmt co.s

Thanks! #BLM",['#blm'],45
15,2020-06-18 16:36:32,GregoryLColeman,"We still need justice for Breonna taylor, for Toyin, people ain’t saying Tony McDade’s name enough, and we need justice for all of them. And many more. #BLM",['#blm'],35
16,2020-06-18 16:34:46,erichcannon,"I suppose since I’m isolating I should celebrate this here, even if part of me is reluctant 😂 But because I don’t believe in judgment or shame, I’m telling you I am officially 100 days alcohol free so that others who may be struggling see this. You’ll get there too. #love #blm  pic.twitter.com/9c29uvpkKZ","['#love', '#blm']",23
17,2020-06-18 16:33:10,RealCandaceO,"This month, #BLEXIT raised $200k for black businesses which were destroyed in the #BLM riots. We also sent all of our minority state directors to local police departments to spread love & form productive relationships.
I’m so proud of the work our organization is doing. @BLEXIT pic.twitter.com/a8pDqdcapD","['#blexit', '#blm']",43242
18,2020-06-18 16:32:55,_nickayye,"❤️❤️❤️❤️ #tdt4log #skateboarding #blm 
Instagram @ nickayye1k  pic.twitter.com/uto0wqJPu2","['#tdt4log', '#skateboarding', '#blm']",55
19,2020-06-18 16:32:19,millerszn,"it’s your responsibility as a university and coaching staff to support your athletes. every coach should be in support and apart movements like #DACA, #BLM, #FreeTheKids, #ProtectBlackWomen, etc. 

if you are more concerned with wins and losses, you are failing.","['#daca', '#blm', '#freethekids', '#protectblackwomen']",39
20,2020-06-18 16:32:13,_MARiA5,"CORONA is still here!#COVID19
Wear a mask!
Black Lives Matter!#BLM
End police brutality! 
End racism!
Kids are still in cages!
Dreamers Won!#DACA
Find Vanessa Guiilen!
Protect women!
End sexual assault!
Stand with the LGBTQ community!

HAVE A HEART. BE UNITED. BE LOUD. BE HEARD!","['#covid19', '#blm', '#daca']",48
21,2020-06-18 16:31:38,timneufeld,"Frickin proud of my city right now. This video should be shown across America. Every Fresno City Council Member supported proclamation stating Black Lives Matter & City Hall was turned into an art gallery, a collab of civic, church, police, & #BLM ldrs. 
 https://www.fresnobee.com/news/local/article243645037.html/video-embed …",['#blm'],17
22,2020-06-18 16:31:02,AnniesListTX,"🆕: Join us on June 29 for a Virtual Conversation and Q&A with @amberkgoodwin, founder of @CJACTIONFUND! She and @RoyceBrooksTX will discuss the #BLM movement and the fight to #EndGunViolence and police brutality. Register at:  http://bit.ly/37FIytb  pic.twitter.com/L9E1PmtjIJ","['#blm', '#endgunviolence']",20
23,2020-06-18 16:30:10,davystarwalker,So you know. This was the plan all along. The #BLM movement has them playing right into the Communist agenda. We are being perfectly played in to thier globalist game....  pic.twitter.com/5PZf9084Cp,['#blm'],19
