,date,username,tweet,hashtags,nlikes,nreplies,nretweets,timezone,place,geo
0,2020-06-07 16:59:32,zflowrpowr,"These outbursts of conspiracy, calls to arms, bigotry, hatred and racism are futile reaction’s from Trump’s army of racists, stunned by a movement uniting the Country behind Equal Justice, which has been denied to our black and brown brothers and sisters. #BLM #PoliceReformNow","['#blm', '#policereformnow']",15,1,7,PDT,,
1,2020-06-07 16:59:19,ZannLenore,"At the #BLM Rally in Truro, NS. White Privilege has allowed many to lead comfortable lives while others have been denied. Racism hurts.  Racism creates poverty. Racism kills. Time for seismic, systemic change. We are waking from our slumber of denial. Don’t go back to sleep. ✊🏼✊🏾  pic.twitter.com/fr7HjPElc1",['#blm'],116,6,21,PDT,,
2,2020-06-07 16:58:29,LaVidaBaseball,"MLB Whiffs with Statement on Racial Injustice: ""Asking MLB to make a statement on racism is as foolish as asking Ja Rule what he thinks about September 11."" -Chris Pennant (@kwandarykitten) #BLM #GeorgeFloyd https://www.lavidabaseball.com/posts/mlb-whiffs-with-statement-on-racial-injustice-01ea8ha4zea7 …","['#blm', '#georgefloyd']",18,0,9,PDT,,
3,2020-06-07 16:58:07,HopperJustin,Windsor. #blm #BlackLivesMatter #Solidarity pic.twitter.com/dhVaxkwvyF,"['#blm', '#blacklivesmatter', '#solidarity']",18,1,2,PDT,,
4,2020-06-07 16:57:56,joanna_c_chiu,"Thank you @ErikHerzog . I oppose racism and hate through active allyship, continuous unlearning, learning, and listening. Join me by nominating 5 others to do the same. #BLM I nominate @YaoCai4 @flowderf @AttardoGeoff @party_mcfly_ @LadyLordOfFlies",['#blm'],15,0,0,PDT,,
5,2020-06-07 16:57:33,joshtrujillo,"Crowd in Seattle now gatherering at Safeway for speeches, program. One of biggest #blacklivesmatter marches yet in our city. No crowd estimate (I’m terrible at that) but it’s really big. And completely peaceful, community-driven. #blm  pic.twitter.com/w7QwNMIAXO","['#blacklivesmatter', '#blm']",46,0,7,PDT,,
6,2020-06-07 16:57:32,angelvvarela,Be apart of the change you want to see get done #blm  pic.twitter.com/I6ofGDnfJM,['#blm'],170,1,61,PDT,,
7,2020-06-07 16:57:20,xa_sxlmaa,For a statue but not for a whole human being #justiceforShukri #blm WE WANT THE CASE REOPENED!!!!  https://twitter.com/BBCBristol/status/1269670192654749699 …,"['#justiceforshukri', '#blm']",50,1,20,PDT,,
8,2020-06-07 16:57:18,charlineGrant,To be an ally you have to be willing to take the risks to do the right thing/speak the truth! Your silence allows @YRDSBDirector to pretend tht to her #BLM We/you know anyone in @YRDSB who shows a strong commitment to Anti-Black Racism is vilified. This is wrong! Time to speak up,['#blm'],19,0,5,PDT,,
9,2020-06-07 16:57:06,TheRealKevCarey,There’s only 35k people who live in the city of Troy. People have put this protest at between 5-11k people. Insane. #troy #enjoytroy #blm #troyprotest #solidarity https://twitter.com/francospotlight/status/1269752984218611712 …,"['#troy', '#enjoytroy', '#blm', '#troyprotest', '#solidarity']",16,0,1,PDT,,
10,2020-06-07 16:56:30,RandazzoTweets,"#forksvigilantes #forksgoons BREAKING: NEW SHOTS leaked by a Forks resident appear to show that, days before family was terrorized, it took less than 1 hour from first mention of a #blm protest on fb for 2 female Forks residents to call for guns, say protesters ""might get shot""  pic.twitter.com/IWIHK1NtPg","['#forksvigilantes', '#forksgoons', '#blm']",30,6,11,PDT,,
11,2020-06-07 16:55:30,Ozzie4Nevada,If you see something record something. If you record something post something. Parents equip your family with cameras go pros and other recording equipment. Racism is not getting worse it’s getting recorded. Let’s melt the iceberg #BLM #EndRacism pic.twitter.com/2wcjNCRBv0,"['#blm', '#endracism']",42,6,7,PDT,,
12,2020-06-07 16:55:24,jdsway,The protests are so scary and totally violent #BLM #BrooklynProtests #grandarmyplaza pic.twitter.com/K9Va3nLv6J – at Grand Army Plaza Greenmarket,"['#blm', '#brooklynprotests', '#grandarmyplaza']",15,4,7,PDT,Grand Army Plaza Greenmarket,
13,2020-06-07 16:55:24,nayright12,"Like many, he's actually worried about the massive engagement with #BLM . He'd better get used to it 😂",['#blm'],24,0,4,PDT,,
14,2020-06-07 16:55:23,Lizkenney64,"When having a child, some Americans dread the convo of the birds and the bees.
Blacks have to look their young children in the eyes and explain that they could one day be targeted by law enforcement simply because of the color of their skin. 
Don’t tell me we’re all equal. 
#BLM",['#blm'],18,1,2,PDT,,
15,2020-06-07 16:55:15,justinenriquez_,"Keith Lee has #BlackLivesMatter on the back of his vest and trunks for his US Championship match against Johnny Gargano at #NXTTakeOver
#WWENXT #NXTTakeoverInYourHouse #BLM  pic.twitter.com/bi5TmjhvC6","['#blacklivesmatter', '#nxttakeover', '#wwenxt', '#nxttakeoverinyourhouse', '#blm']",16,2,3,PDT,,
16,2020-06-07 16:55:02,spjika,"Really surprised and relieved that Lafayette, CA showed up strong to say hell no to police brutality, even the whitest of suburbs are rising up in the #BayArea #blm  pic.twitter.com/kjOFDHJDW4","['#bayarea', '#blm']",15,2,3,PDT,,
